comment_text,like_count,reply_count,published_at
Menjatuhkan kinerja seseorg dipublik sama dgñ menjatuhkn kapasitas diri sendri,1,0,2026-01-21T17:42:14Z
Aku terbangun jam 2 mlm tiba2 ingat debat ini,1,0,2026-01-15T19:17:31Z
this year everything is proven,2,0,2026-01-14T05:12:17Z
"gua balik lagi kesini, gara gara konoha mulai hancur berantakan",12,2,2025-12-20T16:19:49Z
Hanya Pak Anis yg bahas isu lingkungan di debat capres. Yg lain haya ttg pertahanan.,4,0,2025-12-14T12:47:20Z
Formula one itu pakai uang pendidikan atau perindustrian.,0,0,2025-09-24T15:02:15Z
awokawokawok,1,0,2025-08-30T13:01:54Z
11 Juni 2025. Msh suka lihat ini.,1,0,2025-06-11T08:42:24Z
ELEHH... nih.. si paling Tebar manis. COBA. NIH ULAH RAKYAT 58%,4,0,2025-04-23T11:59:31Z
hadeh,0,0,2025-04-10T23:43:46Z
Selesai sudah 😔,1,0,2025-03-21T06:55:53Z
"watching this debate again after the elected president runs his government for months, kinda missing the time when indonesians still had the chance to achieve a change for a better life.",44,2,2025-02-21T10:37:10Z
Wow dijadiin tugas,0,0,2025-02-03T07:41:33Z
Presiden terbaik Iwan fals,0,0,2025-01-09T20:44:02Z
Namun cinta sama pak prabowo,0,0,2025-01-09T20:16:48Z
Pak Anis sosok terbaik,1,0,2025-01-09T20:15:10Z
"Dikasih yang pinter, pada milih yang kosong",31,2,2024-12-31T13:55:53Z
"Omon"" 😂",0,0,2024-10-27T17:14:02Z
Sudah lah nis prabowo sudah di lantik,0,0,2024-10-25T15:02:55Z
Hbs ntn live pelantikan pak prabowo kmrn skrng balik ntn debat capres lg cm mau ntn cak imin 😂😂😂,0,0,2024-10-21T02:29:43Z
16% ,0,0,2024-10-10T17:51:16Z
Rindubuatdankanbakusla,0,0,2024-09-09T10:00:22Z
Info dialog nya bro,0,0,2024-09-02T04:01:33Z
pertalite,0,0,2024-07-16T11:34:54Z
Perema madura halos,0,0,2024-06-02T05:32:24Z
[[[[[[ R - BO ]]]]]],0,0,2024-05-11T15:37:58Z
"Indonesia
MUSIC
Senin, 22 Juli | 21:30 WIB",0,0,2024-05-11T15:27:04Z
"Indonesia 
MUSIC
Minggu, 21 Juli | 20:00 WIB",0,0,2024-05-11T15:26:19Z
"LIVE, Senin - Jum'at | 13:00 WIB
Kuis Mendadak Jutaan 
Music",0,0,2024-05-11T15:22:23Z
• L I V E,0,0,2024-05-11T15:11:32Z
"LIVE, Sabtu & Minggu | 21:30 WIB
Music JFK km",0,0,2024-05-11T15:08:15Z
"LIVE, Senin - Jum'at | 20:00 WIB
SBB MUSIC",0,0,2024-05-11T15:07:15Z
"Senin, Rabu Kamis & Jum'at
Pukul 21:30 WIB
Selasa 
Pukul 21:30 WIB
Sabtu & Minggu
Pukul 20:00 WIB
TV NASIONAL BOLLYWOOD PLATINUM",0,0,2024-05-11T15:05:19Z
04 DR ENGLISH A.S ❤ DR. MURANG CHEF S.KED❤,0,0,2024-05-11T05:59:22Z
0303,0,0,2024-05-11T05:58:51Z
Proses ulng kelihatan 1234 siyapa yg tenggelam ke dsr laut.,0,0,2024-05-07T06:52:10Z
"|||| TV NASIONAL BOLLYWOOD PLATINUM
|||| DAERAH ERUPSI 
   ||||||||||||||||||||||||",0,0,2024-05-05T20:33:42Z
"| TV NASIONAL |||| Malam Ini / 22:30 WIB 
                                ||||||||||||||||||||||||||||||||||||||||||||",0,0,2024-05-05T20:26:24Z
"Sabtu & Minggu / 21:30 WIB • LIVE
JFK OHKA",0,0,2024-05-05T20:20:10Z
"KILAU KONSER
TV NASIONAL BOLLYWOOD PLATINUM

Senin Rabu Kamis Jumat / 21:30 WIB
Selasa / 21:30 WIB
Sabtu & Minggu / 20:00 WIB",0,0,2024-05-05T20:16:32Z
"ABB FIA formula WORLD CHAMPIONSHIP
FOOTBALL CLUBS [[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[
]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]
3 Juni - 22 Juli ]]]]]]]. NET. & TV NASIONAL
]]]]]]]]]]]]]]]]]]]]]]]] LIVE",0,0,2024-05-05T18:49:07Z
"Senin 6 Mei 2024, 21:30 WIB
MUSICIAN
ERUPSI
TV NASIONAL BOLLYWOOD PLATINUM",0,0,2024-05-05T18:00:39Z
)))))) DW )))))),0,0,2024-05-05T17:55:04Z
"""SBB"" 
Malam Ini
Mulai Senin 6 Mei, 20:00 WIB • LIVE",0,0,2024-05-05T17:50:20Z
• L I V E,0,0,2024-05-05T17:47:13Z
